unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1596758400,2020-08-07 00:00:00,BTC/USD,11770.26,11920.00,11219.00,11600.85,10503.36174678,121847924.12013276
1596672000,2020-08-06 00:00:00,BTC/USD,11759.90,11913.50,11575.57,11770.08,9855.99436305,116005842.13264754
1596585600,2020-08-05 00:00:00,BTC/USD,11193.48,11795.86,11094.35,11755.24,7514.79142531,88338176.75446112
1596499200,2020-08-04 00:00:00,BTC/USD,11236.39,11420.00,11000.79,11192.42,5522.11051757,61805780.19906083
1596412800,2020-08-03 00:00:00,BTC/USD,11074.92,11480.00,10933.26,11236.39,6984.67078032,78482484.90927984
1596326400,2020-08-02 00:00:00,BTC/USD,11808.21,12100.00,10559.59,11071.66,12656.41102944,140127479.73820966
1596240000,2020-08-01 00:00:00,BTC/USD,11357.98,11883.36,11228.00,11817.49,11195.80752332,132306343.44875886
1596153600,2020-07-31 00:00:00,BTC/USD,11110.84,11457.95,10973.80,11356.74,10417.50746157,118308923.68911047
1596067200,2020-07-30 00:00:00,BTC/USD,11105.01,11189.00,10832.00,11112.12,10456.84804792,116197750.33025281
1595980800,2020-07-29 00:00:00,BTC/USD,10931.91,11358.47,10855.81,11111.17,12452.86303565,138365878.1758232
1595894400,2020-07-28 00:00:00,BTC/USD,11049.40,11263.85,10583.48,10939.27,17062.37380128,186649913.85312825
1595808000,2020-07-27 00:00:00,BTC/USD,9941.25,11417.11,9933.77,11046.19,27736.83221358,306386318.6293253
1595721600,2020-07-26 00:00:00,BTC/USD,9712.45,10200.00,9657.00,9944.65,9090.21430682,90398999.70631751
1595635200,2020-07-25 00:00:00,BTC/USD,9549.34,9751.82,9532.79,9710.98,5065.44989566,49190482.62775634
1595548800,2020-07-24 00:00:00,BTC/USD,9614.85,9650.55,9474.35,9547.91,8012.90509154,76506496.65256569
1595462400,2020-07-23 00:00:00,BTC/USD,9537.23,9690.00,9453.38,9617.20,10413.94384743,100152980.7695038
1595376000,2020-07-22 00:00:00,BTC/USD,9395.98,9573.00,9280.80,9539.51,5520.76262356,52665370.255076855
1595289600,2020-07-21 00:00:00,BTC/USD,9161.77,9442.89,9152.23,9391.25,5559.47430975,52210413.11143969
1595203200,2020-07-20 00:00:00,BTC/USD,9213.15,9224.73,9128.21,9162.43,3064.80739401,28081083.211099043
1595116800,2020-07-19 00:00:00,BTC/USD,9175.70,9243.36,9106.30,9211.99,1585.39916859,14604681.287059395
1595030400,2020-07-18 00:00:00,BTC/USD,9150.51,9214.63,9122.72,9177.43,1358.28531978,12465568.442308566
1594944000,2020-07-17 00:00:00,BTC/USD,9134.44,9184.28,9073.53,9156.50,3593.49712953,32903856.466541447
1594857600,2020-07-16 00:00:00,BTC/USD,9191.00,9217.50,9026.51,9132.87,5541.85389383,50613031.17134319
