date,duno,open,max,min,close,vol
2016.12.30,00:00,21843.00,22063.00,21820.00,21925.00,21087
2017.01.03,00:00,21970.00,22200.00,21871.00,22164.00,23679
2017.01.04,00:00,22178.00,22232.00,22059.00,22193.00,22251
2017.01.05,00:00,22254.00,22527.00,22213.00,22519.00,22780
2017.01.06,00:00,22525.00,22610.00,22455.00,22471.00,23027
2017.01.09,00:00,22583.00,22627.00,22463.00,22545.00,23613
2017.01.10,00:00,22536.00,22815.00,22513.00,22800.00,21417
2017.01.11,00:00,22791.00,22962.00,22766.00,22892.00,23090
2017.01.12,00:00,22936.00,22972.00,22752.00,22794.00,22736
2017.01.13,00:00,22884.00,22962.00,22853.00,22937.00,20387
2017.01.16,00:00,22843.00,22876.00,22645.00,22788.00,19680
2017.01.17,00:00,22818.00,22916.00,22705.00,22898.00,22334
2017.01.18,00:00,22875.00,23167.00,22864.00,23103.00,21095
2017.01.19,00:00,23034.00,23051.00,22938.00,23022.00,19891
2017.01.20,00:00,22981.00,23007.00,22845.00,22964.00,19272
2017.01.23,00:00,22951.00,23095.00,22821.00,22872.00,22528
2017.01.24,00:00,22936.00,23007.00,22879.00,22992.00,17149
2017.01.25,00:00,23101.00,23158.00,22943.00,23152.00,12419
2017.01.26,00:00,23208.00,23427.00,23154.00,23327.00,17048
2017.01.27,00:00,23286.00,23403.00,23272.00,23375.00,5556
2017.02.01,00:00,23205.00,23481.00,23074.00,23360.00,17585
2017.02.02,00:00,23335.00,23463.00,23104.00,23221.00,18682
2017.02.03,00:00,23248.00,23253.00,22978.00,23204.00,20076
2017.02.06,00:00,23205.00,23354.00,23131.00,23271.00,20504
2017.02.07,00:00,23249.00,23394.00,23221.00,23328.00,18035
2017.02.08,00:00,23296.00,23527.00,23141.00,23418.00,22773
2017.02.09,00:00,23450.00,23610.00,23439.00,23568.00,23117
2017.02.10,00:00,23664.00,23734.00,23565.00,23640.00,21051
2017.02.13,00:00,23636.00,23748.00,23605.00,23731.00,21817
2017.02.14,00:00,23701.00,23732.00,23610.00,23645.00,21690
2017.02.15,00:00,23744.00,24033.00,23744.00,24008.00,25550
2017.02.16,00:00,24083.00,24125.00,23969.00,24095.00,22909
2017.02.17,00:00,24079.00,24120.00,23959.00,23969.00,24372
2017.02.20,00:00,24009.00,24207.00,23997.00,24132.00,22325
2017.02.21,00:00,24149.00,24207.00,23931.00,24037.00,23866
2017.02.22,00:00,24040.00,24182.00,24002.00,24162.00,21738
2017.02.23,00:00,24143.00,24273.00,24038.00,24158.00,22707
2017.02.24,00:00,24134.00,24142.00,23829.00,23905.00,23923
2017.02.27,00:00,23927.00,24074.00,23810.00,23861.00,27460
2017.02.28,00:00,23900.00,23983.00,23704.00,23773.00,24310
2017.03.01,00:00,23789.00,23953.00,23716.00,23926.00,24655
